lat,lon,wheelchair
52.4820907,13.3484446,unknown
52.4979575,13.3228653,yes
52.4979572,13.3563167,yes
52.4977192,13.2927797,yes
52.4976209,13.2956562,yes
52.4984889239783,13.2590431121145,unknown
52.4985119,13.3035537,unknown
52.4975929,13.2832298,no
52.4982615,13.2958907,yes
52.4975767,13.2918904,no
52.4970617,13.3614054,yes
52.4964673,13.3611386,yes
52.4959594,13.3254953,limited
52.4961701,13.2884921,unknown
52.4974938,13.3620485,unknown
52.4955779,13.2418614,unknown
52.4959836,13.2442383,unknown
52.4972855,13.2897845,yes
52.4967577,13.350899,limited
52.4974245,13.2910267,limited
52.4961165,13.3302693,no
52.4961478,13.3312519,no
52.496602,13.3310983,no
52.4969445,13.330356,no
52.497492,13.3326645,no
52.4973163,13.3329486,no
52.4971815,13.2926384,yes
52.4970388,13.2917528,limited
52.470354,13.4285249,no
52.4638922,13.4337234,no
52.4630606,13.4344472,limited
52.4914767,13.2040915,unknown
52.4912361,13.2043071,unknown
52.478628,13.1979128,unknown
52.4782054,13.1979882,unknown
52.4338678,13.2114049,limited
52.3407408,13.2061743,unknown
52.3412251,13.2014129,unknown
52.3411267,13.2013817,unknown
52.4330296,13.2376924,yes
52.433472,13.229525,unknown
52.4341976,13.2300057,unknown
52.4318506,13.2299886,unknown
52.4941059,13.1992105,unknown
52.494395,13.1994565,unknown
52.4933637,13.1969766,unknown
52.4941339,13.1978921,limited
52.4956079,13.1948207,unknown
52.3679575,13.196508,unknown
52.3687032,13.1972097,unknown
52.3397989,13.1927385,unknown
52.3653,13.1951325,unknown
52.365328,13.1949696,unknown
52.3643159,13.192793,unknown
52.3410124,13.1991822,unknown
52.3386746,13.227636,unknown
52.3406119,13.2062062,unknown
52.4648118,13.3406317,no
52.4421581,13.2408947,yes
52.4446503,13.260345,unknown
52.4440188,13.2609712,unknown
